Date,Price,Open,High,Low,Volume,Chg%
02-06-2019,1340.7,1307.4,1348.45,1306.62,0,0.0268
09-06-2019,1341.58,1335.94,1358.4,1319.74,0,0.0007
16-06-2019,1399.05,1342.05,1411.08,1332.83,0,0.0428
23-06-2019,1409.5,1401.35,1438.99,1400.21,0,0.0075
30-06-2019,1399.95,1392.83,1436.29,1381.84,0,-0.0068
07-07-2019,1415.74,1400.05,1426.21,1386.35,0,0.0113
14-07-2019,1425.3,1415.75,1452.96,1400.18,0,0.0067
21-07-2019,1418.69,1425.15,1433.84,1411.08,0,-0.0046
28-07-2019,1440.7,1419.49,1448.23,1400.65,0,0.0155
04-08-2019,1497.24,1440.65,1510.28,1437.03,0,0.0392
11-08-2019,1514.15,1497.65,1534.75,1481.38,0,0.0113
18-08-2019,1526.85,1511.15,1530.11,1491.85,0,0.0084
25-08-2019,1520.25,1539.3,1555.13,1517.43,0,-0.0043
01-09-2019,1506.95,1520.1,1557.38,1502.89,0,-0.0087
08-09-2019,1488.7,1507.1,1523.96,1484.27,0,-0.0121
15-09-2019,1517.15,1503.34,1517.24,1484.36,0,0.0191
22-09-2019,1496.94,1516.66,1535.85,1487.04,0,-0.0133
29-09-2019,1504.6,1497.07,1518.81,1459,0,0.0051
06-10-2019,1489.85,1504.76,1517.08,1474.28,0,-0.0098
13-10-2019,1490.1,1488.9,1498.17,1477.06,0,0.0002
20-10-2019,1504.73,1492.02,1518.07,1480.87,0,0.0098
27-10-2019,1513.95,1504.34,1515.81,1481.21,0,0.0061
03-11-2019,1458.66,1513.8,1514.97,1456.28,0,-0.0365
10-11-2019,1467.37,1458.96,1474.62,1445.61,0,0.006
17-11-2019,1462.29,1467.66,1479.15,1456.26,0,-0.0035
24-11-2019,1464.8,1462.29,1466.81,1450.63,0,0.0017
01-12-2019,1459.76,1467.03,1484.55,1453.91,0,-0.0034
08-12-2019,1475.81,1459.49,1486.95,1458.76,0,0.011
15-12-2019,1478.2,1475.6,1481.97,1470.32,0,0.0016
22-12-2019,1510.67,1478.2,1515.47,1477.51,0,0.022
29-12-2019,1551.65,1511.8,1553.7,1510.43,0,0.0271
05-01-2020,1562.28,1561.15,1611.15,1540.18,0,0.0069
12-01-2020,1556.61,1562.29,1562.3,1536.12,0,-0.0036
19-01-2020,1570.65,1558.65,1576.01,1546.41,0,0.009
26-01-2020,1590.2,1580.1,1590.21,1563.21,0,0.0124
02-02-2020,1570.29,1590.2,1591.84,1547.4,0,-0.0125
09-02-2020,1584.7,1570.29,1585.05,1561.8,0,0.0092
16-02-2020,1643.7,1584.7,1649.15,1578.6,0,0.0372
23-02-2020,1585.13,1659.05,1689.11,1565.86,0,-0.0356
01-03-2020,1674.23,1591.1,1692.1,1579.7,0,0.0562
08-03-2020,1529.7,1694.4,1702.96,1506.86,0,-0.0863
15-03-2020,1498.24,1550.55,1573.49,1451.5,0,-0.0206
22-03-2020,1623.5,1508.15,1647.28,1485.1,0,0.0836
29-03-2020,1618.45,1622,1639.61,1565.74,0,-0.0031
05-04-2020,1689.9,1597.5,1697.5,1597.5,0,0.0441
12-04-2020,1684.69,1685.69,1747.85,1674.87,0,-0.0031
19-04-2020,1729.43,1692.25,1739.74,1661.39,0,0.0266
26-04-2020,1700.41,1726.15,1727.93,1670.06,0,-0.0168
03-05-2020,1702.65,1699,1723.91,1682.28,0,0.0013
10-05-2020,1743,1702.65,1752.13,1691.59,0,0.0237
17-05-2020,1736.07,1743.01,1765.94,1717.1,0,-0.004
24-05-2020,1728.3,1734.61,1737.71,1693.82,0,-0.0045
31-05-2020,1685.83,1738.05,1745.26,1670.74,0,-0.0246
07-06-2020,1730.8,1684.65,1744.92,1677.52,0,0.0267
14-06-2020,1743.61,1732.32,1745.36,1704.31,0,0.0074
21-06-2020,1771.47,1748.78,1779.61,1743.27,0,0.016
28-06-2020,1775.05,1773.74,1789.48,1757.68,0,0.002
05-07-2020,1798.9,1776.31,1818.13,1770.13,0,0.0134
12-07-2020,1809.9,1799.01,1814.79,1791.46,0,0.0061
19-07-2020,1901.46,1809.58,1906.54,1805.6,0,0.0506
26-07-2020,1974.69,1899.99,1981.22,1899.73,0,0.0385
02-08-2020,2034.62,1980.98,2073.41,1960.4,0,0.0304
09-08-2020,1943.76,2034.19,2050.01,1864.3,0,-0.0447
